                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.80577,                0.38219,                0.95408,                0.92355,                0.87834,                0.93497,                0.62233,                 1.2913,                0.52492,                 1.2761,              0.0056836,              0.0056836,              0.0056836
                    111,                0.81158,                0.38389,                0.96018,                0.92451,                0.87638,                0.93658,                0.61843,                 1.2907,                0.52557,                 1.2702,               0.005644,               0.005644,               0.005644
                    112,                 0.8024,                0.37901,                0.95204,                0.91037,                0.88163,                0.93489,                0.61804,                  1.295,                0.53205,                 1.2747,              0.0056044,              0.0056044,              0.0056044
                    113,                0.80091,                0.37941,                0.95134,                0.90776,                0.89333,                0.93709,                 0.6199,                 1.2946,                0.52469,                 1.2644,              0.0055648,              0.0055648,              0.0055648
                    114,                0.79039,                0.37208,                0.94853,                0.90859,                0.89047,                0.93699,                0.62104,                 1.3002,                0.52664,                 1.2756,              0.0055252,              0.0055252,              0.0055252
                    115,                 0.7875,                0.37259,                0.94205,                0.91954,                0.87646,                0.93714,                0.61793,                 1.2951,                0.52972,                 1.2634,              0.0054856,              0.0054856,              0.0054856
                    116,                0.78521,                0.37268,                0.94237,                0.91593,                0.88698,                0.93852,                0.62038,                 1.2962,                0.52001,                 1.2522,               0.005446,               0.005446,               0.005446
                    117,                0.76984,                0.36415,                0.93548,                0.91118,                0.89136,                0.93616,                0.62015,                 1.2988,                0.52523,                 1.2665,              0.0054064,              0.0054064,              0.0054064
                    118,                0.77819,                0.36896,                0.94253,                0.91379,                0.88457,                0.93614,                0.61805,                 1.2973,                0.52021,                 1.2824,              0.0053668,              0.0053668,              0.0053668
                    119,                 0.7705,                0.36759,                0.94107,                0.92241,                0.88719,                0.93563,                0.61704,                 1.2939,                 0.5206,                 1.2811,              0.0053272,              0.0053272,              0.0053272
                    120,                0.76943,                0.36892,                0.94342,                0.91486,                0.87998,                0.93595,                0.61936,                 1.2944,                0.52964,                 1.2905,              0.0052876,              0.0052876,              0.0052876
                    121,                0.76171,                0.36727,                0.94094,                0.91417,                0.88905,                 0.9366,                0.61868,                 1.2973,                0.52599,                 1.2905,               0.005248,               0.005248,               0.005248
                    122,                0.75741,                0.36644,                0.93686,                0.90833,                 0.8947,                0.93684,                 0.6209,                 1.2984,                0.52741,                 1.2911,              0.0052084,              0.0052084,              0.0052084
                    123,                0.75312,                0.36026,                0.93521,                0.92465,                0.88548,                0.93781,                0.62144,                 1.2931,                0.52103,                 1.2874,              0.0051688,              0.0051688,              0.0051688
                    124,                0.74704,                0.35827,                0.93758,                 0.9252,                 0.8794,                0.93804,                0.61863,                 1.3035,                0.52589,                 1.2966,              0.0051292,              0.0051292,              0.0051292
                    125,                 0.7464,                0.36052,                0.93203,                0.92191,                0.88663,                0.93566,                0.62104,                 1.2975,                0.52781,                 1.2843,              0.0050896,              0.0050896,              0.0050896
                    126,                 0.7427,                0.35775,                0.93354,                0.91769,                0.88762,                0.93397,                0.62067,                 1.2992,                0.53166,                 1.2931,                0.00505,                0.00505,                0.00505
                    127,                0.74481,                0.35784,                0.93001,                0.92391,                 0.8839,                0.93581,                0.62136,                  1.294,                0.52827,                 1.2931,              0.0050104,              0.0050104,              0.0050104
                    128,                0.73901,                0.35455,                0.93224,                0.92572,                0.88467,                 0.9365,                 0.6178,                 1.2962,                0.52448,                 1.2933,              0.0049708,              0.0049708,              0.0049708
                    129,                0.73528,                0.35301,                0.92478,                0.92177,                0.89016,                0.93733,                  0.619,                 1.2989,                0.52301,                 1.2906,              0.0049312,              0.0049312,              0.0049312
                    130,                0.73483,                 0.3566,                0.92673,                0.90472,                0.89719,                0.93757,                0.62171,                 1.2931,                0.52753,                 1.2884,              0.0048916,              0.0048916,              0.0048916
                    131,                0.72995,                0.35139,                0.92675,                0.92446,                0.88552,                0.93777,                0.62227,                 1.3015,                0.52978,                 1.3056,               0.004852,               0.004852,               0.004852
                    132,                0.72506,                0.35095,                0.92022,                0.92723,                  0.883,                0.93945,                 0.6231,                 1.2953,                0.52351,                 1.3021,              0.0048124,              0.0048124,              0.0048124
                    133,                0.72189,                0.34818,                0.92353,                0.91478,                0.89579,                0.93653,                0.62353,                 1.2959,                0.52641,                 1.3021,              0.0047728,              0.0047728,              0.0047728
                    134,                 0.7122,                0.34584,                0.91968,                0.90323,                0.89585,                0.93614,                0.62201,                 1.2969,                0.52579,                 1.2947,              0.0047332,              0.0047332,              0.0047332
                    135,                0.71736,                0.34621,                0.92326,                0.92485,                0.87624,                0.93509,                0.62101,                 1.2961,                0.53398,                 1.3072,              0.0046936,              0.0046936,              0.0046936
                    136,                0.70367,                0.34137,                0.91707,                0.91403,                0.89301,                0.93634,                0.62071,                    1.3,                 0.5282,                 1.3036,               0.004654,               0.004654,               0.004654
                    137,                0.70815,                0.34266,                0.91491,                0.91278,                0.89169,                0.93413,                0.61907,                 1.3022,                0.52814,                 1.3024,              0.0046144,              0.0046144,              0.0046144
                    138,                0.71353,                0.34718,                0.91697,                0.92203,                0.88022,                0.93434,                 0.6197,                  1.293,                0.52768,                 1.2995,              0.0045748,              0.0045748,              0.0045748
                    139,                0.70088,                0.34011,                 0.9168,                 0.9094,                0.89319,                0.93507,                0.62011,                 1.2965,                0.52799,                 1.3094,              0.0045352,              0.0045352,              0.0045352
                    140,                0.69966,                0.34039,                0.91701,                0.91951,                0.88327,                  0.935,                0.62095,                 1.2949,                0.52949,                 1.3104,              0.0044956,              0.0044956,              0.0044956
                    141,                0.69617,                0.33563,                  0.914,                0.91037,                0.89169,                 0.9352,                0.62229,                 1.2954,                 0.5258,                  1.309,               0.004456,               0.004456,               0.004456
                    142,                0.68905,                0.33325,                0.91045,                0.91294,                0.88982,                0.93587,                0.62256,                 1.2963,                0.52466,                 1.3138,              0.0044164,              0.0044164,              0.0044164
                    143,                0.68639,                0.33431,                0.91649,                0.93131,                0.87192,                0.93495,                0.62467,                 1.2942,                 0.5283,                 1.3198,              0.0043768,              0.0043768,              0.0043768
                    144,                0.67791,                0.33022,                 0.9121,                0.92044,                0.88234,                0.93479,                0.62229,                 1.2947,                 0.5313,                 1.3084,              0.0043372,              0.0043372,              0.0043372
                    145,                0.67738,                0.33052,                0.91005,                0.93346,                0.87469,                0.93546,                0.62253,                 1.2942,                0.52961,                 1.3063,              0.0042976,              0.0042976,              0.0042976
                    146,                 0.6802,                0.33056,                0.90578,                0.92291,                 0.8862,                0.93607,                0.61905,                 1.2946,                0.52729,                 1.3094,               0.004258,               0.004258,               0.004258
                    147,                0.66556,                0.32368,                0.90669,                0.92447,                0.88536,                0.93663,                0.62342,                 1.2947,                0.52808,                 1.3061,              0.0042184,              0.0042184,              0.0042184
                    148,                0.67583,                0.32858,                0.90318,                0.92829,                0.88046,                0.93507,                0.62143,                 1.2981,                0.53096,                 1.2975,              0.0041788,              0.0041788,              0.0041788
